Company Name,Industry,Round/Series,Location,About Company,Cleaned_amount($),Year,Company/Brand,HeadQuarter,Sector,Investor,Amount($),Stage,Company_Name,column10
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,"Bengaluru, Karnataka, India",Stethoscope for customer feedback !,,2018,,,,,,,,
Credy,"Credit, Financial Services, FinTech, Lending",Seed,"Bengaluru, Karnataka, India",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,,2018,,,,,,,,
iChamp,E-Learning,Seed,"Gurgaon, Haryana, India",iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,,2018,,,,,,,,
Qandle,Software,Seed,"Gurgaon, Haryana, India",A cloud-based HR management and employee engagement platform.,,2018,,,,,,,,
Avishkaar Box,"Children, Education, Parenting",Seed,"Delhi, Delhi, India","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",,2018,,,,,,,,
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,"Mumbai, Maharashtra, India",A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,,2018,,,,,,,,
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,"Pune, Maharashtra, India",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,,2018,,,,,,,,
Deftouch,—,Seed,"Bangalore, Karnataka, India",Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,,2018,,,,,,,,
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,"Bengaluru, Karnataka, India",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,,2018,,,,,,,,
DronaHQ,Mobile,Angel,"Mumbai, Maharashtra, India",DronaHQ is an enterprise mobile engagement platform.,,2018,,,,,,,,
FastFox,Rental,Series A,"Gurgaon, Haryana, India",FastFox: Market Network for Home Rentals (India),,2018,,,,,,,,
BuyForexOnline,Travel,,"Bangalore, Karnataka, India",BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,,2018,,,,,,,,
Colive.in,Consumer,Seed,"Bangalore, Karnataka, India",A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,,2018,,,,,,,,
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,"Thane, Maharashtra, India",Online marketplace where farmers and traders can sell their produce to B2B buyers,,2018,,,,,,,,
Corefactors,—,Seed,"Bangalore, Karnataka, India","Corefactors is a leading campaign management, business communication and analytics company.",,2018,,,,,,,,
Fincash.com,Wealth Management,Seed,"Mumbai, Maharashtra, India",A startup in the personal finance space in India .,,2018,,,,,,,,
Pandorum Technologies,Biotechnology,Series A,"Bengaluru, Karnataka, India",Bengaluru based biotech startup.,,2018,,,,,,,,
Shirsa Labs,"Education, Gaming, Training",Seed,"Mumbai, Maharashtra, India",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,,2018,,,,,,,,
PetSutra,Veterinary,Seed,"Gurgaon, Haryana, India",Gurugram-based Online petcare platform.,,2018,,,,,,,,
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,"Ahmedabad, Gujarat, India",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,,2018,,,,,,,,
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,"Bangalore, Karnataka, India",PinkBlue.in - Super-efficient supply-chain for clinical supplies,,2018,,,,,,,,
Eduvanz,"Finance, Financial Services",Angel,"Mumbai, Maharashtra, India","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",,2018,,,,,,,,
Rupeek,"Financial Services, Lending",Series A,"Bangalore, Karnataka, India",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,,2018,,,,,,,,
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,"Pune, Maharashtra, India",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,,2018,,,,,,,,
Shape (School Health and Physical Education),Education,Seed,"Pune, Maharashtra, India",Physical education start up,,2018,,,,,,,,
Placio,"Hospitality, Real Estate",Seed,"Noida, Uttar Pradesh, India",Placio is a student housing and a complete broker-free platform.,,2018,,,,,,,,
Aviom India Housing Finance,Finance,Series A,"New Delhi, Delhi, India",Delhi based housing finance company.,,2018,,,,,,,,
GenRobotic,Market Research,Seed,"Trivandrum, Kerala, India",A Robotic Company.,,2018,,,,,,,,
HeyHolidays,"Tourism, Travel",Seed,"Bangalore, Karnataka, India","HeyHolidays, a global player in online vacation rentals.",,2018,,,,,,,,
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,"Bengaluru, Karnataka, India",Amazon's Kindle Direct Publishing for Indian Languages,,2018,,,,,,,,
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,"Ernakulam, Kerala, India",SectorQube develops smart kitchen devices that make food automatically.,,2018,,,,,,,,
Food Memories,"Food and Beverage, Food Processing",Seed,"Ahmedabad, Gujarat, India",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,,2018,,,,,,,,
ZAMROO,"Internet, Marketplace, Shopping",Seed,"India, Asia",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,,2018,,,,,,,,
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,"Gurgaon, Haryana, India",Silversparro is a deep learning technology solution provider.,,2018,,,,,,,,
Creator’s Gurukul,Facilities Support Services,Angel,"Gurgaon, Haryana, India",A coworking space provider.,,2018,,,,,,,,
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,"Bengaluru, Karnataka, India",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,,2018,,,,,,,,
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,"Bangalore, Karnataka, India",Predictive Healthcare Analytics Company,,2018,,,,,,,,
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,"Bangalore, Karnataka, India",Virtual/Augmented Reality Start Up .,,2018,,,,,,,,
6Degree,"Fashion, Lifestyle, Retail",Seed,"Mumbai, Maharashtra, India",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,,2018,,,,,,,,
Chrysalis (EZ Vidya),Education,Seed,"Chennai, Tamil Nadu, India",Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,,2018,,,,,,,,
Ekincare,Medical,Series A,"Hyderabad, Andhra Pradesh, India",EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,,2018,,,,,,,,
Streo,Music Streaming,Seed,"Gurgaon, Haryana, India","Live stream music from nightclubs, bars & festivals!",,2018,,,,,,,,
Groww,"Finance, Impact Investing, Internet",Seed,"Kormangala, Karnataka, India",Groww offers a new way of investing money.,,2018,,,,,,,,
Cell Propulsion,—,Seed,"Bangalore, Karnataka, India",Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,,2018,,,,,,,,
Chezuba,"Internet, Social Entrepreneurship",Angel,"Hyderabad, Andhra Pradesh, India",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,,2018,,,,,,,,
Ontrack Technologies Pvt. Ltd,Retail,Seed,"Bangalore, Karnataka, India",Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,,2018,,,,,,,,
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,"Mumbai, Maharashtra, India",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,,2018,,,,,,,,
Faclon Labs,"Cloud Computing, Computer, Software",Seed,"Mumbai, Maharashtra, India",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,,2018,,,,,,,,
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,"Bangalore, Karnataka, India",Operations and manpower outsourcing startup,,2018,,,,,,,,
CollPoll,Education,Seed,"Bangalore, Karnataka, India",World-class Enterprise System for Education.,,2018,,,,,,,,
Zyla Health,"Health Care, Hospitality",Seed,"New Delhi, Delhi, India",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,,2018,,,,,,,,
Hubhopper,"Internet, Social News, Sports",Series A,"Delhi, Delhi, India",Get your daily dose of interest as summaries from news and magazine stories .,,2018,,,,,,,,
Rubix108 Technologies,Information Technology,Seed,"Pune, Maharashtra, India",Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,,2018,,,,,,,,
Workflexi,Human Resources,Seed,"Bangalore, Karnataka, India","Be Smart, Work on Contract,Be Smart, Hire on Contract",,2018,,,,,,,,
Streak,Financial Services,Seed,"Bangalore, Karnataka, India",Algorithmic trading platform.,,2018,,,,,,,,
Kuants,Financial Services,Seed,"Gurgaon, Haryana, India",Algorithmic trading platform.,,2018,,,,,,,,
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,"Bangalore, Karnataka, India",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,,2018,,,,,,,,
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,"Chennai, Tamil Nadu, India",A video recording and sharing software.,,2018,,,,,,,,
Satvacart,"E-Commerce, Food Processing",Seed,"Gurgaon, Haryana, India",Satvacart is a Gurgaon’s largest online supermarket,,2018,,,,,,,,
Daaki,Health Care,Angel,"Bangalore, Karnataka, India",Sports Nutrition startup,,2018,,,,,,,,
Simulanis,Training,Seed,"New Delhi, Delhi, India",A Delhi-based Augmented Reality and Virtual Reality technology development company.,,2018,,,,,,,,
MY CHIRAAG CAB,Travel,Seed,"Jaipur, Rajasthan, India",MY CHIRAAG CAB SERVICES PVT LTD,,2018,,,,,,,,
WOTU,Food and Beverage,Seed,"Bangalore, Karnataka, India",It operates a business-to-business e-commerce portal for food and beverages.,,2018,,,,,,,,
Flathalt,—,Angel,"Gurgaon, Haryana, India",FInd your Customized Home here.,,2018,,,,,,,,
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,"Pune, Maharashtra, India",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,,2018,,,,,,,,
Trendlyne Technologies,Financial Services,Seed,"Bangalore, Karnataka, India",Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,,2018,,,,,,,,
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,"Chennai, Tamil Nadu, India",Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,,2018,,,,,,,,
HealthPlix,"Fitness, Health Care, Wellness",Series A,"Bangalore, Karnataka, India",HealthPlix is a healthtech startup,,2018,,,,,,,,
dishq,—,Seed,"Bengaluru, Karnataka, India",dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,,2018,,,,,,,,
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,"Bengaluru, Karnataka, India",The boundaries between Human and Machines are shrinking fast.,,2018,,,,,,,,
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,"Delhi, Delhi, India",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,,2018,,,,,,,,
Trell,—,Seed,"Bangalore City, Karnataka, India",Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,,2018,,,,,,,,
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,"Bangalore, Karnataka, India",Building future human capital through 21st Century Skills programs for K-12,,2018,,,,,,,,
Log 9 Materials,Nanotechnology,Seed,"Uttar Pradesh, India, Asia",Log 9 Materials is a nano-materials manufacturing and RnD startup,,2018,,,,,,,,
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,"Gurgaon, Haryana, India",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,,2018,,,,,,,,
HousingMan.com,—,Seed,"Bengaluru, Karnataka, India","New Apartments, Flats for Sale in Bangalore",,2018,,,,,,,,
Steradian Semiconductors,—,Seed,"Bangalore, Karnataka, India",It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,,2018,,,,,,,,
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,"Mumbai, Maharashtra, India",RupeeCircle is a new age finance company.,,2018,,,,,,,,
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,"Jaipur, Rajasthan, India",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,,2018,,,,,,,,
The Ken,Digital Media,Series A,"Bengaluru, Karnataka, India",The Ken is India’s first subscriptions-only business news site,,2018,,,,,,,,
SaffronStays,—,Seed,"Mumbai, Maharashtra, India",SaffronStays connects travellers to India's Incredible hosts.,,2018,,,,,,,,
Vebbler,"File Sharing, Personalization, Social Media",Seed,"Bengaluru, Karnataka, India",A personal network for close people,,2018,,,,,,,,
Foyr,"Home Decor, Interior Design",Series A,"Pune, Maharashtra, India","Foyr.com is India's first online, automated interior designer",,2018,,,,,,,,
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,"Jaipur, Rajasthan, India",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,,2018,,,,,,,,
Inner Being Wellness,—,Angel,"Hyderabad, Andhra Pradesh, India","Inner Being Wellness manufactures beauty, wellness, and nutrition products.",,2018,,,,,,,,
Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,"Chennai, Tamil Nadu, India",Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,,2018,,,,,,,,
Wishberry,"Crowdfunding, Finance, Financial Services",Series A,"Mumbai, Maharashtra, India",Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,,2018,,,,,,,,
